,ZoneID,GeoName,LineCode,Description,Unit,2019
287,198,"Marquette, WI",7010.0,Total employment,Number of jobs,6338
290,225,"Menominee, WI",7010.0,Total employment,Number of jobs,2383
293,126,"Milwaukee, WI",7010.0,Total employment,Number of jobs,612024
296,181,"Monroe, WI",7010.0,Total employment,Number of jobs,28520
299,155,"Oconto, WI",7010.0,Total employment,Number of jobs,14146
302,132,"Oneida, WI",7010.0,Total employment,Number of jobs,22615
305,162,"Outagamie, WI",7010.0,Total employment,Number of jobs,137400
308,141,"Ozaukee, WI",7010.0,Total employment,Number of jobs,59410
311,207,"Pepin, WI",7010.0,Total employment,Number of jobs,3890
314,106,"Pierce, WI",7010.0,Total employment,Number of jobs,17827
317,160,"Polk, WI",7010.0,Total employment,Number of jobs,23559
320,146,"Portage, WI",7010.0,Total employment,Number of jobs,46591
323,212,"Price, WI",7010.0,Total employment,Number of jobs,7886
326,183,"Racine, WI",7010.0,Total employment,Number of jobs,96332
329,202,"Richland, WI",7010.0,Total employment,Number of jobs,9339
332,151,"Rock, WI",7010.0,Total employment,Number of jobs,86925
335,222,"Rusk, WI",7010.0,Total employment,Number of jobs,7363
338,220,"St. Croix, WI",7010.0,Total employment,Number of jobs,48969
341,101,"Sauk, WI",7010.0,Total employment,Number of jobs,48819
344,157,"Sawyer, WI",7010.0,Total employment,Number of jobs,10162
347,184,"Shawano, WI",7010.0,Total employment,Number of jobs,19514
350,142,"Sheboygan, WI",7010.0,Total employment,Number of jobs,75339
353,167,"Taylor, WI",7010.0,Total employment,Number of jobs,11916
356,159,"Trempealeau, WI",7010.0,Total employment,Number of jobs,19356
359,121,"Vernon, WI",7010.0,Total employment,Number of jobs,15608
362,139,"Vilas, WI",7010.0,Total employment,Number of jobs,12858
365,116,"Walworth, WI",7010.0,Total employment,Number of jobs,58980
368,135,"Washburn, WI",7010.0,Total employment,Number of jobs,8768
371,143,"Washington, WI",7010.0,Total employment,Number of jobs,76447
374,223,"Waukesha, WI",7010.0,Total employment,Number of jobs,315660
377,138,"Waupaca, WI",7010.0,Total employment,Number of jobs,26381
380,133,"Waushara, WI",7010.0,Total employment,Number of jobs,9654
383,205,"Winnebago, WI",7010.0,Total employment,Number of jobs,115570
386,204,"Wood, WI",7010.0,Total employment,Number of jobs,48601
