,,0-4,19-May,20-24,25-44,45-64,65+
Knox County,"36,181","2,201","7,645","3,065","8,034","7,668","7,568"
Kosciusko County,"84,014","5,473","16,915","4,317","19,656","18,868","18,785"
LaGrange County,"42,766","3,602","10,720","2,299","9,212","8,918","8,015"
Lake County,"482,108","30,394","95,262","25,037","116,911","112,995","101,509"
LaPorte County,"109,003","6,346","20,070","5,642","26,963","25,187","24,795"
Lawrence County,"43,598","2,440","8,054","1,912","9,600","10,459","11,133"
Madison County,"121,902","6,818","21,604","7,021","30,440","28,510","27,509"
Marion County,"1,017,228","73,409","203,947","70,264","279,643","223,169","166,796"
Marshall County,"48,171","3,034","9,775","2,127","10,485","10,612","12,138"
Martin County,"10,073",596,"2,175",441,"2,181","2,325","2,355"
Miami County,"33,124","1,777","5,930","1,695","8,539","7,473","7,710"
Monroe County,"166,538","7,322","29,985","28,841","40,707","31,296","28,387"
Montgomery County,"38,131","2,244","7,058","2,211","8,715","8,428","9,475"
Morgan County,"72,188","4,321","14,177","3,077","17,351","17,057","16,205"
Newton County,"12,706",546,"2,105",467,"2,730","3,150","3,708"
Noble County,"48,954","3,380","9,885","2,201","11,138","11,041","11,309"
Ohio County,"5,908",240,934,259,"1,098","1,519","1,858"
Orange County,"18,924","1,014","3,583",887,"4,169","4,487","4,784"
Owen County,"18,391",866,"3,008",834,"3,969","4,677","5,037"
Parke County,"15,528",866,"2,901",903,"3,753","3,500","3,605"
Perry County,"18,449",960,"3,177",938,"4,414","4,288","4,672"
Pike County,"11,715",653,"2,142",503,"2,390","2,886","3,141"
Porter County,"186,239","10,202","34,387","10,246","44,698","45,457","41,249"
Posey County,"22,984","1,186","4,311",996,"4,981","5,587","5,923"
Pulaski County,"11,601",635,"2,348",404,"2,439","2,856","2,919"
Putnam County,"37,315","1,768","6,587","3,040","8,993","8,218","8,709"
Randolph County,"22,078","1,262","4,187","1,054","4,788","5,066","5,721"
Ripley County,"30,824","1,951","6,319","1,118","6,833","6,983","7,620"
Rush County,"14,966",838,"2,996",616,"3,134","3,438","3,944"
St. Joseph County,"272,055","17,386","54,849","19,437","63,046","60,647","56,690"
Scott County,"23,633","1,452","4,231","1,254","5,342","5,805","5,549"
Shelby County,"44,801","2,615","8,367","2,169","10,181","10,401","11,068"
Spencer County,"19,724",950,"3,658",781,"4,097","4,797","5,441"
Starke County,"21,331","1,245","4,013","1,048","4,915","5,162","4,948"
Steuben County,"33,486","1,658","6,154","1,924","6,183","7,698","9,869"
Sullivan County,"19,423",934,"3,430","1,190","4,981","4,776","4,112"
Switzerland County,"11,751",689,"2,284",614,"2,612","2,789","2,763"
Tippecanoe County,"220,077","13,015","44,771","35,212","53,664","40,280","33,135"
Tipton County,"13,543",638,"2,406",487,"2,739","3,125","4,148"
Union County,"6,762",345,"1,218",237,"1,522","1,633","1,807"
Vanderburgh County,"190,783","11,143","35,287","14,291","44,144","45,017","40,901"
Vermillion County,"14,231",786,"2,690",675,"3,115","3,397","3,568"
Vigo County,"107,405","5,985","19,889","10,190","27,646","22,782","20,913"
Wabash County,"28,743","1,665","5,552","1,675","5,826","6,201","7,824"
Warren County,"7,693",435,"1,367",314,"1,594","1,833","2,150"
Warrick County,"69,347","4,100","13,884","2,591","15,910","16,733","16,129"
Washington County,"27,657","1,554","5,530","1,312","6,036","6,721","6,504"
Wayne County,"62,536","3,970","12,242","3,721","13,397","14,246","14,960"
Wells County,"27,901","1,626","5,389","1,313","5,807","6,239","7,527"
White County,"22,375","1,304","4,530",924,"4,325","5,041","6,251"
Whitley County,"34,785","1,943","6,503","1,531","7,864","8,509","8,435"
